rarity	form-count	obtain	involve	max-base-level	max-plus-level	egg-1	egg-2	true-form	ultra-form	talents	version	orb-count	xp-curve	involve-description	ultra-involve-description	level-curve	obtain-stage	trueform-stage
0	3	遊戲開始時最初始的貓咪	合計Lv30可進化（Lv. 10 + 20）	20	90								200|400|700|1100|1600|2200|2900|3700|4600|5600			0		
0	3	世界篇第1章「台灣」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								400|700|1600|2800|4300|6100|8200|10600|13300|16300			0		
0	3	世界篇第1章「泰國」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								600|900|1800|3000|4500|6300|8400|10800|13500|16500			0		
0	3	世界篇第1章「韓國」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								700|1300|2200|3400|4900|6700|8800|11200|13900|16900			0		
0	3	世界篇第1章「新加坡」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								800|1500|2400|3600|5100|6900|9000|11400|14100|17100			0		
0	3	世界篇第1章「尼泊爾」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								900|2000|3200|4800|6800|9200|12000|15200|18800|22800			0		
0	3	世界篇第1章「馬達加斯加」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								1300|2500|4000|6000|8500|11500|15000|19000|23500|28500			0		
0	3	世界篇第1章「埃及」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								1800|3000|4800|7200|10200|13800|18000|22800|28200|34200			0		
0	3	世界篇第1章「義大利」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								2000|3500|6200|9800|14300|19700|26000|33200|41300|50300			0		
1	3	世界篇第2章「日本」過關後可以用150個貓罐頭購入	於開眼活動關卡「開眼女優貓來襲！」取得後Lv20可進化	50	0					0|10|10|67|67|5|50|0|0|0|0|10|4|-1|0|55|1|0|0|0|0|0|0|0|0|67|6|-1|0|20|10|16|70|0|0|0|0|0|0|20|5|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	800|1600|3100|5100|7600|10600|14100|18100|22600|27600			0		
1	3	世界篇第1章「牙買加」過關後可以用240個貓罐頭購入	於開眼活動關卡「開眼功夫貓來襲！」取得後Lv20可進化	50	0					0|56|10|2|20|1|1|1920|1920|1080|1080|68|4|-1|0|45|1|0|0|0|0|0|0|0|0|54|6|-1|0|48|1|0|0|0|0|0|0|0|0|57|6|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	500|1500|5100|9900|15900|23100|31500|41100|51900|63900			0		
1	3	世界篇第2章「印度」過關後可以用160個貓罐頭購入	於開眼活動關卡「開眼Mr.來襲！」取得後Lv20可進化	50	0					64|8|10|3|30|0|0|0|0|0|0|73|13|304|0|45|1|0|0|0|0|0|0|0|0|54|6|-1|0|49|1|0|0|0|0|0|0|0|0|58|6|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	900|1500|3900|7100|11100|15900|21500|27900|35100|43100			0		
1	3	世界篇第1章「丹麥」過關後可以用150個貓罐頭購入	於開眼活動關卡「開眼緊缚貓來襲！」取得後Lv20可進化	50	0					0|2|10|30|30|15|60|0|0|0|0|2|4|-1|0|51|10|40|40|12|30|0|0|0|0|60|4|-1|0|46|1|0|0|0|0|0|0|0|0|55|6|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	300|700|2200|4200|6700|9700|13200|17200|21700|26700			0		
